Blue Sm2,Blue Sc2,Blue Sc1,Red Pc2,Red Pm2,Blue Sm1,Red Pi2,Red Pc1,Red Pi1,Red Pm1
136.9242566370972,0,0,147.76087539320287,100.0,136.77975990488017,100.0,147.80861211595698,100.0,100.0
136.90835492702615,0,0,147.7364305518617,100.0,136.7662808588592,100.0,147.7796775039551,100.0,100.0
136.88480662395952,0,0,147.68910559146167,100.0,136.73958154200153,100.0,147.7447788597518,100.0,100.0
136.84924749630895,0,0,147.66984579920998,100.0,136.71778959670092,100.0,147.72098728535346,100.0,100.0
137.01894611200905,0,0,147.65712905622593,100.0,136.91370050494086,100.0,147.69132231046478,100.0,100.0
136.9944910038274,0,0,147.63065570917277,100.0,136.88367342123738,100.0,147.66076129505382,100.0,100.0
136.94491908687252,0,0,147.6128787532838,100.0,136.86371991470355,100.0,147.62733850339805,100.0,100.0
136.91190657554318,0,0,147.55446436575295,100.0,136.8441085212403,100.0,147.55270831014528,100.0,100.0
136.86029707129953,0,0,147.52830090427526,100.0,136.80802273882276,100.0,147.4821680876332,100.0,100.0
136.82541849642448,0,0,147.4979041514566,100.0,136.77304075956252,100.0,147.41003985662732,100.0,100.0
136.7920963358224,0,0,147.41099169988635,100.0,136.7125347337448,100.0,147.3159970274802,100.0,100.0
136.96923644585885,0,0,147.32923539158375,100.0,136.66005877628936,100.0,147.1949224866851,100.0,100.0
136.93024118926093,0,0,147.2187758294946,100.0,136.57362219366638,100.0,147.0430751020495,100.0,100.0
136.8752876694047,0,0,147.1190440702749,100.0,136.51366117852618,100.0,146.89487007416344,100.0,100.0
136.81043870548467,0,0,147.03406259644348,100.0,136.64815537791992,100.0,146.77358635301502,100.0,100.0
136.74421894531838,0,0,147.49976812478107,100.0,136.58067944797338,100.0,146.69134105881085,100.0,100.0
136.6748592680041,0,0,147.3714396948074,100.0,136.51885749895715,100.0,147.14967923715358,100.0,100.0
136.60302579986754,0,0,147.2338998409026,100.0,136.4539454098228,100.0,147.0671683445596,100.0,100.0
136.72338971409732,0,0,147.08947153098435,100.0,136.36565325463644,100.0,146.9771694225372,100.0,100.0
136.60623854198707,0,0,146.93662710936553,100.0,136.30052133911082,100.0,147.52600602277624,100.0,100.0
136.5162017775021,0,0,146.8290933802071,100.0,136.46846267495008,100.0,148.08688748355956,100.0,100.0
136.6180144703306,0,0,146.70008852075898,100.0,136.41076192496394,100.0,148.04973507234766,100.0,100.0
136.51919623408415,0,0,146.59813472848288,100.0,136.32704440839606,100.0,147.9331582687483,100.0,100.0
136.4303127574299,0,0,146.4835729554576,100.0,136.2565105441112,100.0,147.82793248328508,100.0,100.0
136.32449736405937,0,0,146.8971164511144,100.0,136.17557698111344,100.0,147.72692867591886,100.0,100.0
136.2411370980968,0,0,146.74666675201274,100.0,136.09930598938462,100.0,148.18811488604393,100.0,100.0
136.1095135195806,0,0,146.5833525785678,100.0,136.02238866111247,100.0,148.08538691589615,100.0,100.0
135.98666978289128,0,0,146.42475137187637,100.0,135.91992694829298,100.0,147.98441451853768,100.0,100.0
135.8519625079086,0,0,146.80659345418206,100.0,136.05824052152838,100.0,147.85794402147584,100.0,100.0
135.72545381931803,0,0,146.58732334194548,100.0,135.93710981484278,100.0,147.74169437337957,100.0,100.0
135.61224953392167,0,0,146.35151652881174,100.0,135.82865141498817,100.0,147.58608901755832,100.0,100.0
135.5004305128466,0,0,146.15168094618727,100.0,135.7271776964776,100.0,147.44220317929452,100.0,100.0
135.39714901639596,0,0,145.98136993494967,100.0,135.8584370294689,100.0,147.3141264418653,100.0,100.0
135.49964747896098,0,0,145.83858311057935,100.0,135.7717862726573,100.0,147.19672213173877,100.0,100.0
135.63382823337324,0,0,145.6781759566644,100.0,135.92704364557085,100.0,147.64913347830705,100.0,100.0
135.97215392460944,0,0,145.54970465338212,100.0,136.06540325414332,100.0,147.49695032162933,100.0,100.0
136.12019360013716,0,0,145.36891916607644,100.0,136.0104747642217,100.0,147.91601689645827,100.0,100.0
136.0576695288205,0,0,145.1638033379006,100.0,135.94000809958138,100.0,147.78259488520206,100.0,100.0
135.9447735849465,0,0,145.57164094120014,100.0,136.05960106772417,100.0,147.6628073808653,100.0,100.0
